pair_id,associated_dis,country,iso3,year,disaster_type,disaster_subtype,disaster_type_final,is_drought,is_earthquake,is_warm_anom,is_cold_anom,is_extreme_temp,is_flood,is_landslide,is_tropical,is_unknown_storm,is_convective_storm,minmax_intensity,X Intensity,int_drought,int_earthquake,int_extreme_temp,int_flood,int_landslide,int_tropical,int_unknown_storm,int_conv_storm,Richter,warm_anom,cold_anom,drought_days,extreme_temp_days,prcp_sum,elevation,fault_density,slope,road_density,mm_elevation,mm_fault_density,mm_slope,mm_road_density,X Elevation,X Fault Density,X Slope,X Road Density,msl_pressure,wind_speed,multi,Hazard Group,ln10_Total_Damage,Y Damage ($ ln10),hdi,le,eys,mys,gnipc,gdi,gii,phdi,mm_phdi,multi_phdi,single_phdi,X PHDI,X PPP,Economy,Code,Region,income_group,income_group2,Income Group,is_high_upper_middle,is_low_lower_middle,Lending category,Other (EMU or HIPC),ppp,mm_ppp,multi_ppp,single_ppp,CAPE,start_year_x,start_month_x,start_day_x,start_date,ny_date,dist_to_ny,end_year,end_month,end_day,duration_days,lat,lon
p21,Flood,United States,USA,1990,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0.5,0,11.81277778,0,0,0,232.59,341.4029236,0,2.61964035,309.3442688,0.07,0,0.11,0.07,0.07,0,0.11,0.07,102622.81,9.33,1,Multi-hazard,5.995815894,5.995815894,0.872,75.3699,15.41786003,12.98377037,39472.3021,0.987,0.294,0.628,0.7,0.7,0,0.628,0.5,United States,USA,North America,High income,High_income,High,1,0,,,31082,0.5,0.5,0,5520.016846,1990,5,1,32994,32874,120,1990,5,9,9,36.77404125,-92.57795257
p22,,Mexico,MEX,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.39,0.39,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0.00000729,0,0,0,0,0,0,0,0,0,102388.23,21.66,0,Single Hazard,5.254453813,5.254453813,0.662,69.9707,10.94775963,5.953360081,14478.93425,0.906,0.505,0.618,0.68,0,0.68,0.618,0.3,Mexico,MEX,Latin America & Caribbean,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,19034,0.3,0,0.3,4591.026445,1990,8,8,33093,32874,219,1990,8,8,1,20.06748837,-92.65188923
p23,,India,IND,1990,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.56,0.56,0,0,0,0,0,0,0,0.56,0,26.18355556,0,0,0,1317.73,60.79590988,0.00000125,0.282285213,325.8256836,0.01,0.02,0.01,0.08,0.01,0.02,0.01,0.08,101182.01,14.31,0,Single Hazard,6.63926869,6.63926869,0.434,58.6516,7.996357701,2.78157628,1790.407349,0.707,0.71,0.426,0.32,0,0.32,0.426,0.03,India,IND,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,2324,0.03,0,0.03,6117.283323,1990,8,25,33110,32874,236,1990,8,25,1,22.6903222,71.5884337
p24,,Japan,JPN,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.52,0.52,0,0,0,0,0,0.52,0,0,0,0,0,0,0,808.86,766.2387085,0.0000681,10.97943401,893.2374878,0.16,0.86,0.48,0.22,0.16,0.86,0.48,0.22,102109.87,26.7,0,Single Hazard,6.898905935,6.898905935,0.845,78.9838,13.01529026,11.6402998,35578.79714,0.951,0.162,0.7,0.83,0,0.83,0.7,0.44,Japan,JPN,East Asia & Pacific,High income,High_income,High,1,0,,,27634,0.44,0,0.44,2174.997757,1990,9,17,33133,32874,259,1990,9,20,4,36.11141671,137.4734492
p25,,Thailand,THA,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.04,0.04,0,0,0,0,0,0.04,0,0,0,26.62577778,0,0,0,740.89,265.9790955,0.00000255,1.982895255,655.4621582,0.05,0.03,0.09,0.16,0.05,0.03,0.09,0.16,102146.94,8.22,0,Single Hazard,4.995815017,4.995815017,0.576,70.4449,8.434339523,4.507717011,6907.889992,0.948,0.437,0.552,0.55,0,0.55,0.552,0.04,Thailand,THA,East Asia & Pacific,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,2802,0.04,0,0.04,4313.228084,1990,10,8,33154,32874,280,1990,10,26,19,15.88803539,102.0421781
p26,,Iran,IRN,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.11,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0,0,344.7,920.6243286,0.0000188,6.884989262,107.6904526,0.19,0.24,0.3,0.03,0.19,0.24,0.3,0.03,0,0,0,Single Hazard,5.18558748,5.18558748,0.601,64.3665,10.08364157,5.738566289,8631.088966,0.719,0.708,0.564,0.58,0,0.58,0.564,0.17,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,10895,0.17,0,0.17,513.1099141,1990,10,16,33162,32874,288,1990,10,16,1,36.82716179,50.90934713
p27,,United States,USA,1990,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.11,0.11,0,0,0,0,0,0,0,0.11,0,16.63455556,0,0,0,257.74,181.8787537,0,0.397757739,684.272644,0.04,0,0.02,0.17,0.04,0,0.02,0.17,102823.8,14.73,0,Single Hazard,4.840914936,4.840914936,0.872,75.3699,15.41786003,12.98377037,39472.3021,0.987,0.294,0.628,0.7,0,0.7,0.628,0.63,United States,USA,North America,High income,High_income,High,1,0,,,39235,0.63,0,0.63,1255.812003,1990,11,27,33204,32874,330,1990,11,27,1,39.47090038,-89.30240711
p28,,Australia,AUS,1990,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.51,0.51,0,0,0,0,0,0.51,0,0,0,28.47388889,0,0,0,60.2,293.4317322,0,0.951916993,82.8414917,0.06,0,0.04,0.02,0.06,0,0.04,0.02,101320.07,26.2,0,Single Hazard,5.48885518,5.48885518,0.865,77.0443,17.5350793,11.22770758,29069.15488,0.961,0.185,0.622,0.68,0,0.68,0.622,0.42,Australia,AUS,East Asia & Pacific,High income,High_income,High,1,0,,,26062,0.42,0,0.42,3267.398959,1990,12,25,33232,32874,358,1990,12,25,1,-22.79772752,147.3741015
p29,,Japan,JPN,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.03,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0,0,100.79,102.9753113,0.00000998,2.612662554,355.3631287,0.02,0.13,0.11,0.09,0.02,0.13,0.11,0.09,0,0,0,Single Hazard,6.527294837,6.527294837,0.845,78.9838,13.01529026,11.6402998,35578.79714,0.951,0.162,0.7,0.83,0,0.83,0.7,0.33,Japan,JPN,East Asia & Pacific,High income,High_income,High,1,0,,,20641,0.33,0,0.33,1880.858316,1990,6,25,33049,32874,175,1990,7,4,10,31.854433,130.1211384
p30,"Slide (land, mud, snow, rock)",Indonesia,IDN,1990,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0,0,0,0,6,24.38333333,0,0,0,408.94,611.1659546,0.00000619,6.798014164,210.5391693,0.12,0.08,0.3,0.05,0.12,0.08,0.3,0.05,0,0,1,Multi-hazard,3.619093331,3.619093331,0.526,63.1807,10.07166958,3.219540119,4202.15015,0.861,0.6,0.515,0.48,0.48,0,0.515,0.12,Indonesia,IDN,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,7478,0.12,0.12,0,4621.257443,1990,11,15,33192,32874,318,1990,11,15,1,3.178603012,98.0387957
p31,Rain,Mexico,MEX,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.16,0.16,0,0,0,0.16,0,0,0,0,0,19.72344444,0,0,0,497.89,1772.242554,0,3.731863022,377.4342651,0.36,0,0.16,0.09,0.36,0,0.16,0.09,0,0,1,Multi-hazard,4.94029729,4.94029729,0.662,69.9707,10.94775963,5.953360081,14478.93425,0.906,0.505,0.618,0.68,0.68,0,0.618,0.24,Mexico,MEX,Latin America & Caribbean,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,15150,0.24,0.24,0,4852.483726,1990,9,22,33138,32874,264,1990,9,25,4,28.81888092,-106.4541092
p32,,Bangladesh,BGD,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.15,0.15,0,0,0,0.15,0,0,0,0,0,28.54433333,0,0,0,445.99,29.96440125,0.00000488,0.516295195,1342.176392,0.01,0.06,0.02,0.32,0.01,0.06,0.02,0.32,0,0,0,Single Hazard,4.074999186,4.074999186,0.397,55.9886,5.832300186,3.294752292,1554.41105,0.648,0.73,0.394,0.26,0,0.26,0.394,0.02,Bangladesh,BGD,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IDA,,1362,0.02,0,0.02,5522.468008,1990,7,14,33068,32874,194,1990,9,6,55,24.56486354,89.55640369
p33,Rain,United States,USA,1990,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.03,0.03,0,0,0,0.03,0,0,0,0,0,0.349444444,0,0,0,77.39,1958.450195,0.0000141,5.91591692,51.64704895,0.4,0.18,0.26,0.01,0.4,0.18,0.26,0.01,0,0,1,Multi-hazard,4.950058013,4.950058013,0.872,75.3699,15.41786003,12.98377037,39472.3021,0.987,0.294,0.628,0.7,0.7,0,0.628,0.48,United States,USA,North America,High income,High_income,High,1,0,,,29764,0.48,0.48,0,371.7595715,1990,1,9,32882,32874,8,1990,1,11,3,44.12354444,-113.0664935
p34,,United Kingdom,GBR,1991,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0,326.31,157.5085754,0,3.195130825,786.3543701,0.03,0,0.14,0.19,0.03,0,0.14,0.19,102202.66,26.38,0,Single Hazard,6.233075089,6.233075089,0.809,75.9098,13.92667007,9.724416059,30605.64788,0.97,0.254,0.669,0.77,0,0.77,0.669,0.38,United Kingdom,GBR,Europe & Central Asia,High income,High_income,High,1,0,,,23521,0.38,0,0.38,270.4448751,1991,1,5,33243,33239,4,1991,1,6,2,52.33718158,-3.762237864
p35,,Iran,IRN,1991,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.04,0.04,0,0,0,0.04,0,0,0,0,0,6.073666667,0,0,0,108.83,1290.822754,0.00000253,1.867539525,50.21069336,0.26,0.03,0.08,0.01,0.26,0.03,0.08,0.01,0,0,0,Single Hazard,4.725993259,4.725993259,0.62,66.4589,10.21992719,6.021415054,9496.163999,0.731,0.695,0.58,0.61,0,0.61,0.58,0.12,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,7910,0.12,0,0.12,1237.019761,1991,1,27,33265,33239,26,1991,2,5,10,32.52700443,58.69691224
p36,"Slide (land, mud, snow, rock)",Malawi,MWI,1991,flood,Flash flood,flood,0,0,0,0,0,1,0,0,0,0,0.41,0.41,0,0,0,0.41,0,0,0,0,0,24.00166667,0,0,0,1250.52,580.4816284,0.0000282,2.638823509,103.8106613,0.12,0.35,0.12,0.03,0.12,0.35,0.12,0.03,0,0,1,Multi-hazard,4.659041028,4.659041028,0.309,43.3124,5.745250225,2.325717982,992.2126989,0.834,0.717,0.306,0.09,0.09,0,0.306,0,Malawi,MWI,Sub-Saharan Africa,Low income,Low_income,Low,0,1,IDA,HIPC,383,0,0,0,5124.562709,1991,3,10,33307,33239,68,1991,3,15,6,-15.80320751,35.59850429
p37,Flood,Bangladesh,BGD,1991,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.66,0.66,0,0,0,0,0,0.66,0,0,0,0,0,0,0,166.07,4.927317619,0.00000741,0.174174502,791.9087524,0,0.09,0.01,0.19,0,0.09,0.01,0.19,101695.69,31.74,1,Multi-hazard,6.529252442,6.529252442,0.394,54.1544,6.022955513,3.399163456,1571.95081,0.658,0.725,0.391,0.25,0.25,0,0.391,0.03,Bangladesh,BGD,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IDA,,2036,0.03,0.03,0,5969.396548,1991,4,29,33357,33239,118,1991,5,10,12,22.16820131,90.88695275
